internal_ID,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_KLQ,in_D22,in_L22,Grade_by_D22,Classification_by_L22,q,phi,rein,minimised_chi2,BIC,NOTE
11022368,35.98515571,-42.80722329,0.99,0.62,1.812319221,1.812319221,1.812319221,B,B,2,0,1,0,C,,,,,,,
11023400,10.08429049,-43.34747839,0.98,0.81,3.500202879,3.500202879,3.500202879,C,C,2,0,1,0,C,,,,,,,
11025703,308.4118212,-44.46873529,0.9,0.68,2.261585268,2.261585268,2.261585268,C,A,2,0,0,0,,,,,,,,
11025886,354.4757657,-44.54653628,0.97,0.88,2.31412407,2.31412407,2.31412407,C,A,2,0,0,0,,,,,,,,
11026123,48.54434476,-44.65159358,0.95,0.74,2.609259823,2.609259823,2.609259823,C,A,2,0,0,0,,,,,,,,
11026422,81.29209097,-44.8186621,0.98,0.94,2.091721296,2.091721296,2.091721296,C,A,2,0,0,0,,,,,,,,
11026888,53.672296,-45.06424955,0.92,0.96,2.455811682,2.455811682,2.455811682,A,A,2,0,0,0,,,,,,,,
11028068,66.47258058,-45.65969902,0.96,0.65,1.906679435,1.906679435,1.906679435,C,C,2,0,1,0,C,,,,,,,
11030534,327.6195571,-46.88086135,0.91,0.85,2.408011694,2.408011694,2.408011694,B,A,2,0,1,0,B,,,,,,,
11032569,85.47810211,-47.86988232,0.97,0.71,3.101651552,3.101651552,3.101651552,C,B,2,0,0,0,,,,,,,,
11034543,92.62854504,-48.94519076,0.9,0.76,2.451124785,2.451124785,2.451124785,C,A,2,0,0,0,,,,,,,,
11034895,336.6964652,-49.13195686,0.9,0.77,3.053799349,3.053799349,3.053799349,C,B,2,0,0,0,,,0.578,23.66,1.432,9.08E-05,10.75073842,obvious lens
11036605,43.74892112,-50.05797772,0.95,0.82,2.027876184,2.027876184,2.027876184,C,A,2,0,0,0,,,,,,,,
11038970,59.12507859,-51.17590836,0.96,0.72,2.480276148,2.480276148,2.480276148,B,C,2,0,0,0,,,,,,,,
11039044,72.01531378,-51.21573742,0.95,0.88,2.631615012,2.631615012,2.631615012,B,C,2,0,1,0,C,,,,,,,
11111002,79.53548257,-59.15329132,0.98,0.84,1.999086789,1.999086789,1.999086789,C,A,2,0,0,0,,,,,,,,
